scenario,network,iteration,is_warmup,timestamp,handshake_ms,ttfb_ms,ttlb_ms,cpu_usr_s,cpu_sys_s,cpu_pct_time,max_rss_kb
A,ideal,data-001,False,2026-06-15T10:31:55.727075+00:00,3.772735595703125,7.66444206237793,7.66444206237793,0.0,0.0,57%,9296
A,ideal,data-002,False,2026-06-15T10:31:58.923105+00:00,4.584550857543945,8.265256881713867,8.265256881713867,0.0,0.0,57%,9460
A,ideal,data-003,False,2026-06-15T10:32:02.103883+00:00,6.23321533203125,10.495901107788086,10.495901107788086,0.0,0.0,50%,9544
A,ideal,data-004,False,2026-06-15T10:32:05.285600+00:00,4.527807235717773,8.36324691772461,8.36324691772461,0.0,0.0,52%,9348
A,ideal,data-005,False,2026-06-15T10:32:08.476160+00:00,9.964704513549805,18.25261116027832,18.25261116027832,0.0,0.0,35%,9532
