scenario,network,iteration,is_warmup,timestamp,handshake_ms,ttfb_ms,ttlb_ms,cpu_usr_s,cpu_sys_s,cpu_ms,cpu_pct_time,max_rss_kb
A,ideal,warmup-01,True,2026-06-20T15:10:49.649849+00:00,5.141496658325195,7.367134094238281,9.701728820800781,0.008915000000000006,0.004517999999999994,13.433,52%,9468
A,ideal,warmup-02,True,2026-06-20T15:10:53.042046+00:00,4.367828369140625,6.574392318725586,8.892536163330078,0.0065470000000000805,0.006341000000000041,12.888000000000122,52%,9472
A,ideal,warmup-03,True,2026-06-20T15:10:56.434065+00:00,3.297090530395508,5.311489105224609,7.515907287597656,0.009673000000000043,0.0032250000000000334,12.898000000000076,55%,9464
A,ideal,warmup-04,True,2026-06-20T15:10:59.821937+00:00,4.179477691650391,6.381988525390625,8.163928985595703,0.0063429999999997655,0.006240999999999941,12.583999999999707,52%,9372
A,ideal,warmup-05,True,2026-06-20T15:11:03.207574+00:00,4.0607452392578125,6.43157958984375,8.219718933105469,0.010073999999999916,0.0027410000000001045,12.81500000000002,57%,9340
A,ideal,warmup-06,True,2026-06-20T15:11:06.598464+00:00,4.481792449951172,7.262706756591797,9.902238845825195,0.009708999999999968,0.0032409999999996053,12.949999999999573,47%,9452
A,ideal,warmup-07,True,2026-06-20T15:11:09.981507+00:00,3.1418800354003906,5.188226699829102,7.072210311889648,0.006574000000000524,0.0066029999999996924,13.177000000000216,55%,9384
A,ideal,warmup-08,True,2026-06-20T15:11:13.369350+00:00,4.48918342590332,6.852626800537109,8.523702621459961,0.010405999999999693,0.0027010000000000645,13.106999999999758,57%,9352
A,ideal,warmup-09,True,2026-06-20T15:11:16.763667+00:00,3.7772655487060547,6.1893463134765625,8.727550506591797,0.010373999999999661,0.0027759999999998897,13.149999999999551,50%,9300
A,ideal,warmup-10,True,2026-06-20T15:11:20.167989+00:00,4.713773727416992,7.105827331542969,9.596824645996094,0.009255000000000457,0.003962000000000021,13.217000000000478,47%,9344
A,ideal,warmup-11,True,2026-06-20T15:11:23.553523+00:00,4.140615463256836,7.179737091064453,9.162425994873047,0.0053889999999992,0.007463999999999693,12.852999999998893,50%,9448
A,ideal,warmup-12,True,2026-06-20T15:11:26.949550+00:00,7.262706756591797,10.023117065429688,13.054847717285156,0.009195999999999316,0.003766999999999854,12.96299999999917,45%,9500
A,ideal,warmup-13,True,2026-06-20T15:11:30.337386+00:00,4.42194938659668,7.397890090942383,9.453058242797852,0.00989799999999974,0.002742999999999718,12.640999999999458,50%,9324
A,ideal,warmup-14,True,2026-06-20T15:11:33.733280+00:00,4.269123077392578,6.778240203857422,8.709907531738281,0.009678000000000964,0.003142999999999674,12.821000000000637,52%,9272
A,ideal,warmup-15,True,2026-06-20T15:11:37.126147+00:00,4.311323165893555,8.400678634643555,12.510061264038086,0.008080999999998895,0.0047600000000000975,12.840999999998992,45%,9348
A,ideal,warmup-16,True,2026-06-20T15:11:40.523611+00:00,3.6334991455078125,6.028890609741211,7.735729217529297,0.007619000000000042,0.005342999999999876,12.961999999999918,50%,9520
A,ideal,warmup-17,True,2026-06-20T15:11:43.913727+00:00,3.7012100219726562,6.368875503540039,9.508848190307617,0.01084900000000033,0.001691000000000109,12.54000000000044,50%,9348
A,ideal,warmup-18,True,2026-06-20T15:11:47.302906+00:00,3.756999969482422,6.124973297119141,7.81702995300293,0.008760999999999797,0.004195000000000171,12.955999999999968,55%,9268
A,ideal,warmup-19,True,2026-06-20T15:11:50.695166+00:00,4.694938659667969,7.495403289794922,9.932518005371094,0.006622000000000128,0.006534999999999513,13.156999999999641,50%,9328
A,ideal,warmup-20,True,2026-06-20T15:11:54.082941+00:00,3.7899017333984375,6.061553955078125,8.265018463134766,0.006188999999999112,0.006828999999999752,13.017999999998864,57%,9364
A,ideal,data-001,False,2026-06-20T15:11:57.474388+00:00,4.977941513061523,7.7228546142578125,11.102914810180664,0.004731999999997072,0.00835000000000008,13.081999999997151,45%,9408
A,ideal,data-002,False,2026-06-20T15:12:00.865636+00:00,5.383014678955078,7.632255554199219,9.350299835205078,0.011713000000000306,0.0010220000000007445,12.735000000001051,50%,9360
A,ideal,data-003,False,2026-06-20T15:12:04.254121+00:00,4.631519317626953,6.9026947021484375,8.675575256347656,0.008927999999997382,0.0038689999999999003,12.796999999997283,50%,9364
A,ideal,data-004,False,2026-06-20T15:12:07.641686+00:00,3.865957260131836,6.00743293762207,7.718324661254883,0.009150999999999243,0.004028999999999172,13.179999999998415,57%,9376
A,ideal,data-005,False,2026-06-20T15:12:11.026508+00:00,3.3974647521972656,5.864381790161133,7.9631805419921875,0.009969999999999146,0.0028309999999986957,12.800999999997842,52%,9420
