scenario,network,iteration,is_warmup,timestamp,handshake_ms,cert_transfer_ms,ttfb_ms,ttlb_ms,cpu_usr_s,cpu_sys_s,cpu_ms,cpu_pct_time,max_rss_kb
A,ideal,warmup-01,True,2026-06-24T16:58:39.477377+00:00,3.373861312866211,1.3442039489746094,4.347562789916992,5.819082260131836,0.010147000000000017,0.002924999999999983,13.072000000000001,68%,9376
A,ideal,warmup-02,True,2026-06-24T16:58:43.475774+00:00,3.2553672790527344,1.3163089752197266,4.220485687255859,5.890846252441406,0.00925700000000007,0.0037650000000000183,13.022000000000089,62%,9444
A,ideal,warmup-03,True,2026-06-24T16:58:47.471585+00:00,3.201007843017578,1.3320446014404297,4.225969314575195,6.021022796630859,0.010082999999999842,0.002931000000000017,13.013999999999859,68%,9476
A,ideal,warmup-04,True,2026-06-24T16:58:51.462866+00:00,3.292083740234375,1.3341903686523438,4.397392272949219,5.991935729980469,0.00818099999999955,0.0047279999999998434,12.908999999999393,68%,9408
A,ideal,warmup-05,True,2026-06-24T16:58:55.461603+00:00,3.322601318359375,1.3768672943115234,4.122734069824219,5.882024765014648,0.00959000000000021,0.0033249999999998003,12.91500000000001,62%,9448
A,ideal,data-001,False,2026-06-24T16:58:59.462551+00:00,3.360271453857422,1.3356208801269531,4.237174987792969,5.779504776000977,0.008446000000000176,0.004542999999999964,12.98900000000014,62%,9428
A,ideal,data-002,False,2026-06-24T16:59:03.452897+00:00,3.470897674560547,1.3413429260253906,4.382610321044922,5.960226058959961,0.009196999999998567,0.003750000000000142,12.94699999999871,68%,9468
A,ideal,data-003,False,2026-06-24T16:59:07.444924+00:00,3.237485885620117,1.3124942779541016,4.131317138671875,5.87153434753418,0.006704999999998407,0.006217999999999613,12.92299999999802,62%,9452
A,ideal,data-004,False,2026-06-24T16:59:11.443783+00:00,3.274679183959961,1.2969970703125,4.056215286254883,5.690097808837891,0.0095919999999996,0.0033749999999992397,12.96699999999884,62%,9512
A,ideal,data-005,False,2026-06-24T16:59:15.440797+00:00,3.1135082244873047,1.3213157653808594,4.133462905883789,5.624055862426758,0.010073999999999472,0.0032380000000005182,13.31199999999999,62%,9508
A,ideal,data-006,False,2026-06-24T16:59:19.433677+00:00,3.324747085571289,1.3337135314941406,4.19163703918457,5.884885787963867,0.010895999999998907,0.0019890000000000185,12.884999999998925,62%,9368
A,ideal,data-007,False,2026-06-24T16:59:23.423832+00:00,3.507852554321289,1.3477802276611328,4.242181777954102,6.054878234863281,0.008088000000000761,0.004946000000000339,13.0340000000011,68%,9396
A,ideal,data-008,False,2026-06-24T16:59:27.428678+00:00,4.939079284667969,1.3432502746582031,8.51750373840332,12.761354446411133,0.011465000000001169,0.0018079999999995877,13.273000000000756,45%,9644
A,ideal,data-009,False,2026-06-24T16:59:31.418075+00:00,3.2291412353515625,1.4302730560302734,4.18400764465332,5.758523941040039,0.009226999999999208,0.0038719999999994315,13.09899999999864,68%,9428
A,ideal,data-010,False,2026-06-24T16:59:35.425796+00:00,3.2203197479248047,1.33514404296875,4.111289978027344,5.847930908203125,0.007892999999999262,0.005105000000000359,12.997999999999621,62%,9464
A,ideal,data-011,False,2026-06-24T16:59:39.413532+00:00,3.5505294799804688,1.3365745544433594,4.5795440673828125,6.363868713378906,0.008463000000002552,0.004531999999999314,12.995000000001866,58%,9560
A,ideal,data-012,False,2026-06-24T16:59:43.412963+00:00,3.1430721282958984,1.3649463653564453,4.045009613037109,5.842447280883789,0.009057999999999566,0.003940000000000055,12.997999999999621,68%,9460
A,ideal,data-013,False,2026-06-24T16:59:47.400242+00:00,3.3359527587890625,1.352548599243164,4.202365875244141,5.952596664428711,0.006139000000001005,0.006849000000000771,12.988000000001776,68%,9448
A,ideal,data-014,False,2026-06-24T16:59:51.397622+00:00,3.2889842987060547,1.3327598571777344,4.202365875244141,5.775928497314453,0.008022000000000418,0.004953000000000429,12.975000000000847,68%,9508
A,ideal,data-015,False,2026-06-24T16:59:55.397045+00:00,3.111600875854492,1.3344287872314453,3.9856433868408203,5.678653717041016,0.010564000000002238,0.0027340000000002362,13.298000000002475,68%,9472
A,ideal,data-016,False,2026-06-24T16:59:59.396096+00:00,3.253459930419922,1.3070106506347656,4.12750244140625,5.9642791748046875,0.005150999999997907,0.008183999999999969,13.334999999997876,68%,9444
A,ideal,data-017,False,2026-06-24T17:00:03.386942+00:00,3.111124038696289,1.3654232025146484,3.9687156677246094,5.37109375,0.00710199999999972,0.006076000000000192,13.177999999999912,68%,9540
A,ideal,data-018,False,2026-06-24T17:00:07.382888+00:00,3.219127655029297,1.3370513916015625,4.142999649047852,5.781412124633789,0.008753000000002231,0.00450400000000073,13.25700000000296,62%,9468
A,ideal,data-019,False,2026-06-24T17:00:11.386268+00:00,3.277301788330078,1.332998275756836,4.091024398803711,5.804777145385742,0.007958999999999605,0.005338000000000065,13.29699999999967,62%,9636
A,ideal,data-020,False,2026-06-24T17:00:15.387367+00:00,3.3218860626220703,1.3320446014404297,4.315853118896484,5.819559097290039,0.009056000000001063,0.003938999999999027,12.99500000000009,68%,9464
A,ideal,data-021,False,2026-06-24T17:00:19.389257+00:00,3.4596920013427734,1.3523101806640625,4.367828369140625,5.878686904907227,0.010096999999994694,0.0027980000000003002,12.894999999994994,62%,9576
A,ideal,data-022,False,2026-06-24T17:00:23.379210+00:00,3.5066604614257812,1.3990402221679688,4.485130310058594,6.201505661010742,0.006525000000003445,0.006161000000000527,12.686000000003972,62%,9312
A,ideal,data-023,False,2026-06-24T17:00:27.359296+00:00,3.263711929321289,1.3518333435058594,4.335641860961914,5.917072296142578,0.01011400000000151,0.0031690000000015317,13.283000000003042,68%,9432
A,ideal,data-024,False,2026-06-24T17:00:31.367291+00:00,3.214597702026367,1.3604164123535156,4.068136215209961,5.781412124633789,0.007747000000001947,0.005589999999999762,13.337000000001709,62%,9500
A,ideal,data-025,False,2026-06-24T17:00:35.363206+00:00,3.2029151916503906,1.3561248779296875,4.028558731079102,5.790472030639648,0.00822300000000098,0.004457999999999629,12.681000000000608,62%,9464
A,ideal,data-026,False,2026-06-24T17:00:39.363270+00:00,3.2417774200439453,1.3582706451416016,4.276037216186523,6.121158599853516,0.007722000000001117,0.005614999999998815,13.336999999999932,58%,9580
A,ideal,data-027,False,2026-06-24T17:00:43.354286+00:00,3.2722949981689453,1.3933181762695312,4.075288772583008,5.804538726806641,0.008684000000002357,0.004089999999997929,12.774000000000285,62%,9468
A,ideal,data-028,False,2026-06-24T17:00:47.352164+00:00,3.3369064331054688,1.3892650604248047,4.2209625244140625,5.801916122436523,0.00912200000000496,0.003930999999997908,13.053000000002868,68%,9560
A,ideal,data-029,False,2026-06-24T17:00:51.344094+00:00,3.1871795654296875,1.3744831085205078,4.188776016235352,5.851507186889648,0.00841400000000192,0.004892000000001673,13.306000000003593,68%,9392
