scenario,network,iteration,is_warmup,timestamp,handshake_ms,ttfb_ms,ttlb_ms,cpu_usr_s,cpu_sys_s,cpu_ms,cpu_pct_time,max_rss_kb
A,ideal,warmup-01,True,2026-06-23T14:11:34.422707+00:00,2.070903778076172,4.289865493774414,5.954504013061523,0.011309999999999987,0.001906999999999992,13.21699999999998,62%,9304
A,ideal,warmup-02,True,2026-06-23T14:11:37.797187+00:00,1.7247200012207031,3.9420127868652344,5.420207977294922,0.013093000000000021,0.0,13.093000000000021,68%,9280
A,ideal,warmup-03,True,2026-06-23T14:11:41.167076+00:00,1.750946044921875,3.90625,5.48100471496582,0.004469000000000056,0.008578000000000086,13.047000000000143,62%,9400
A,ideal,data-001,False,2026-06-23T14:11:44.543310+00:00,1.9681453704833984,4.106998443603516,5.676031112670898,0.006788999999999934,0.006073999999999913,12.862999999999847,68%,9380
A,ideal,data-002,False,2026-06-23T14:11:47.921467+00:00,2.12860107421875,4.215478897094727,5.824565887451172,0.008633999999999808,0.004188999999999998,12.822999999999807,62%,9184
A,ideal,data-003,False,2026-06-23T14:11:51.297768+00:00,1.8584728240966797,3.950357437133789,5.430698394775391,0.01221199999999989,0.00099899999999975,13.21099999999964,68%,9204
A,ideal,data-004,False,2026-06-23T14:11:54.673762+00:00,2.196073532104492,4.504680633544922,6.052255630493164,0.010237999999999303,0.002755000000000063,12.992999999999366,62%,9268
A,ideal,data-005,False,2026-06-23T14:11:58.058933+00:00,1.909017562866211,4.102945327758789,5.570888519287109,0.008873000000000353,0.0037370000000001014,12.610000000000454,62%,9136
