scenario,network,iteration,is_warmup,timestamp,handshake_ms,cert_transfer_ms,ttfb_ms,ttlb_ms,server_flight1_bytes,cpu_usr_s,cpu_sys_s,cpu_ms,cpu_pct_time,max_rss_kb
A,ideal,warmup-01,True,2026-06-28T16:45:30.940927+00:00,19.329309463500977,1.6148090362548828,20.465612411499023,22.83501625061035,2005,0.009597999999999995,0.0038849999999999996,13.482999999999995,29%,9404
A,ideal,warmup-02,True,2026-06-28T16:45:35.143805+00:00,3.124713897705078,1.329183578491211,3.980875015258789,5.572080612182617,2003,0.00982100000000008,0.0030170000000000474,12.838000000000127,68%,9616
A,ideal,warmup-03,True,2026-06-28T16:45:39.353694+00:00,3.1280517578125,1.3663768768310547,4.019260406494141,5.634784698486328,2004,0.008411999999999864,0.004834000000000005,13.245999999999869,62%,9328
A,ideal,warmup-04,True,2026-06-28T16:45:43.558597+00:00,3.0944347381591797,1.3561248779296875,4.048824310302734,5.695343017578125,2005,0.008445000000000036,0.00456499999999993,13.009999999999966,62%,9372
A,ideal,warmup-05,True,2026-06-28T16:45:47.756330+00:00,3.1821727752685547,1.2965202331542969,4.029273986816406,5.621194839477539,2003,0.010183999999999749,0.002739000000000047,12.922999999999796,68%,9632
A,ideal,data-001,False,2026-06-28T16:45:51.963441+00:00,3.292560577392578,1.3277530670166016,4.235029220581055,5.777835845947266,2004,0.008113999999999955,0.0050400000000001555,13.15400000000011,68%,9468
A,ideal,data-002,False,2026-06-28T16:45:56.181824+00:00,3.2792091369628906,1.3394355773925781,4.184484481811523,5.756378173828125,2003,0.010156999999999528,0.0030399999999999316,13.19699999999946,68%,9580
A,ideal,data-003,False,2026-06-28T16:46:00.387393+00:00,3.161191940307617,1.3270378112792969,4.122495651245117,5.649566650390625,2004,0.008321999999999719,0.0046879999999998034,13.009999999999522,62%,9464
A,ideal,data-004,False,2026-06-28T16:46:04.597074+00:00,3.1354427337646484,1.308441162109375,4.106998443603516,5.678415298461914,2004,0.00869300000000095,0.00418099999999999,12.87400000000094,62%,9420
A,ideal,data-005,False,2026-06-28T16:46:08.795049+00:00,3.155231475830078,1.336812973022461,4.099130630493164,5.789279937744141,2003,0.008483000000000018,0.004506000000000121,12.98900000000014,62%,9464
A,ideal,data-006,False,2026-06-28T16:46:13.003006+00:00,3.2033920288085938,1.35040283203125,4.164934158325195,5.6362152099609375,2004,0.009001999999998844,0.003950999999999816,12.95299999999866,68%,9612
