scenario,network,iteration,is_warmup,timestamp,ttfb_ms,ttlb_ms,cpu_usr_s,cpu_sys_s,cpu_pct_time,max_rss_kb
A,ideal,data-001,False,2026-06-12T10:47:46.236589+00:00,9.277582168579102,16.9980525970459,0.0,0.0,36%,9508
A,ideal,data-002,False,2026-06-12T10:47:49.210936+00:00,7.838726043701172,12.192487716674805,0.0,0.0,41%,9284
A,ideal,data-003,False,2026-06-12T10:47:52.182908+00:00,5.183219909667969,8.68368148803711,0.0,0.0,50%,9300
A,ideal,data-004,False,2026-06-12T10:47:55.257521+00:00,5.300045013427734,99.52902793884277,0.0,0.0,9%,9288
A,ideal,data-005,False,2026-06-12T10:47:58.264406+00:00,29.48927879333496,36.76128387451172,0.0,0.0,19%,9564
