scenario,network,iteration,is_warmup,timestamp,handshake_ms,ttfb_ms,ttlb_ms,cpu_usr_s,cpu_sys_s,cpu_ms,cpu_pct_time,max_rss_kb
A,ideal,warmup-01,True,2026-06-24T11:47:17.654972+00:00,2.025127410888672,4.252433776855469,5.864143371582031,0.008114999999999983,0.005083999999999977,13.19899999999996,62%,9496
A,ideal,warmup-02,True,2026-06-24T11:47:21.041673+00:00,2.057790756225586,4.085302352905273,5.73277473449707,0.01113900000000001,0.0021019999999999373,13.240999999999946,68%,9512
A,ideal,warmup-03,True,2026-06-24T11:47:24.424316+00:00,1.9011497497558594,4.114627838134766,5.635499954223633,0.008545999999999943,0.004500999999999977,13.046999999999919,62%,9400
A,ideal,warmup-04,True,2026-06-24T11:47:27.808298+00:00,1.8391609191894531,4.098176956176758,5.860090255737305,0.009661999999999615,0.0030529999999999724,12.714999999999588,62%,9444
A,ideal,warmup-05,True,2026-06-24T11:47:31.191333+00:00,1.7848014831542969,3.9234161376953125,5.68079948425293,0.008490000000000109,0.004702999999999902,13.19300000000001,62%,9600
A,ideal,data-001,False,2026-06-24T11:47:34.562461+00:00,1.8911361694335938,4.045724868774414,5.747318267822266,0.007001999999999953,0.006177999999999795,13.179999999999747,68%,9392
A,ideal,data-002,False,2026-06-24T11:47:37.955573+00:00,2.0647048950195312,4.312992095947266,5.946159362792969,0.008752000000000315,0.004001999999999839,12.754000000000154,62%,9564
A,ideal,data-003,False,2026-06-24T11:47:41.343635+00:00,1.9266605377197266,4.136323928833008,5.750179290771484,0.008631999999999529,0.004579000000000111,13.21099999999964,62%,9332
A,ideal,data-004,False,2026-06-24T11:47:44.735733+00:00,1.802682876586914,4.065036773681641,5.617380142211914,0.007617999999999903,0.005234000000000183,12.852000000000086,62%,9332
A,ideal,data-005,False,2026-06-24T11:47:48.118373+00:00,1.7361640930175781,3.9615631103515625,5.488157272338867,0.01070500000000063,0.002785999999999955,13.491000000000586,68%,9516
A,ideal,data-006,False,2026-06-24T11:47:51.498237+00:00,1.8367767333984375,4.1332244873046875,5.739927291870117,0.007439000000001528,0.0053269999999994155,12.766000000000943,62%,9584
A,ideal,data-007,False,2026-06-24T11:47:54.884177+00:00,1.985311508178711,4.337072372436523,6.009101867675781,0.0101899999999997,0.002835000000000143,13.024999999999842,64%,9356
A,ideal,data-008,False,2026-06-24T11:47:58.263941+00:00,1.7726421356201172,3.9446353912353516,5.722999572753906,0.008188000000000528,0.005221999999999838,13.410000000000366,68%,9324
A,ideal,data-009,False,2026-06-24T11:48:01.646928+00:00,1.7228126525878906,3.893136978149414,5.494594573974609,0.009282000000000679,0.003827000000000247,13.109000000000925,62%,9464
A,ideal,data-010,False,2026-06-24T11:48:05.020798+00:00,1.7781257629394531,3.8797855377197266,5.596637725830078,0.004864999999998787,0.007803000000000004,12.667999999998791,62%,9372
A,ideal,data-011,False,2026-06-24T11:48:08.412384+00:00,1.7476081848144531,4.076957702636719,5.611896514892578,0.008430999999999855,0.004271000000000136,12.701999999999991,62%,9448
A,ideal,data-012,False,2026-06-24T11:48:11.797771+00:00,1.8463134765625,4.1484832763671875,5.723714828491211,0.009381000000001194,0.003779000000000643,13.160000000001837,68%,9560
A,ideal,data-013,False,2026-06-24T11:48:15.169907+00:00,1.796722412109375,3.9963722229003906,5.635499954223633,0.008589000000000624,0.004747000000000057,13.33600000000068,62%,9396
A,ideal,data-014,False,2026-06-24T11:48:18.549699+00:00,1.844167709350586,4.046916961669922,5.677461624145508,0.008646000000000598,0.004659000000000191,13.305000000000788,62%,9432
A,ideal,data-015,False,2026-06-24T11:48:21.929252+00:00,1.8661022186279297,4.071950912475586,5.652189254760742,0.0074019999999990205,0.005361999999999867,12.763999999998887,62%,9252
A,ideal,data-016,False,2026-06-24T11:48:25.311410+00:00,1.7333030700683594,3.818511962890625,5.574941635131836,0.01021300000000025,0.003157999999999106,13.370999999999356,68%,9448
A,ideal,data-017,False,2026-06-24T11:48:28.703631+00:00,1.8091201782226562,3.8826465606689453,5.522489547729492,0.007415999999999201,0.0052880000000001814,12.703999999999382,62%,9464
A,ideal,data-018,False,2026-06-24T11:48:32.087640+00:00,1.7769336700439453,3.9854049682617188,5.461931228637695,0.011287000000002934,0.0018999999999991246,13.187000000002058,68%,9508
A,ideal,data-019,False,2026-06-24T11:48:35.464950+00:00,1.99127197265625,4.292964935302734,5.812406539916992,0.006635999999996756,0.0060269999999995605,12.662999999996316,62%,9384
A,ideal,data-020,False,2026-06-24T11:48:38.843124+00:00,2.187490463256836,4.453182220458984,6.197690963745117,0.011047000000001361,0.0020759999999988565,13.123000000000218,64%,9404
A,ideal,data-021,False,2026-06-24T11:48:42.225011+00:00,1.7528533935546875,3.9539337158203125,5.714893341064453,0.006906000000000745,0.005798000000000414,12.704000000001159,62%,9324
A,ideal,data-022,False,2026-06-24T11:48:45.609127+00:00,1.8162727355957031,4.062175750732422,5.876302719116211,0.009323000000001969,0.0040530000000007504,13.376000000002719,68%,9560
A,ideal,data-023,False,2026-06-24T11:48:48.995287+00:00,2.284526824951172,4.591226577758789,6.10661506652832,0.005898000000001957,0.007556000000001006,13.454000000002964,58%,9712
A,ideal,data-024,False,2026-06-24T11:48:52.375629+00:00,1.811981201171875,4.2724609375,5.725860595703125,0.009881000000000029,0.0028959999999997876,12.776999999999816,68%,9284
A,ideal,data-025,False,2026-06-24T11:48:55.748946+00:00,1.8436908721923828,4.084587097167969,5.640983581542969,0.008514000000001687,0.0045760000000001355,13.090000000001822,62%,9324
A,ideal,data-026,False,2026-06-24T11:48:59.129049+00:00,1.8756389617919922,4.000425338745117,5.819082260131836,0.00588600000000028,0.007582999999998563,13.468999999998843,62%,9632
A,ideal,data-027,False,2026-06-24T11:49:02.507499+00:00,2.0470619201660156,4.253625869750977,6.263017654418945,0.007898000000000849,0.00524399999999936,13.142000000000209,58%,9524
A,ideal,data-028,False,2026-06-24T11:49:05.889888+00:00,1.8134117126464844,4.028797149658203,5.570650100708008,0.008086999999999733,0.004668000000000561,12.755000000000294,62%,9608
A,ideal,data-029,False,2026-06-24T11:49:09.267239+00:00,1.6560554504394531,3.7806034088134766,5.631208419799805,0.00556399999999968,0.007283000000001039,12.847000000000719,62%,9348
A,ideal,data-030,False,2026-06-24T11:49:12.648350+00:00,1.8241405487060547,4.022121429443359,5.555152893066406,0.009824000000001831,0.0035450000000007975,13.369000000002629,62%,9444
A,ideal,data-031,False,2026-06-24T11:49:16.040587+00:00,2.036571502685547,4.329919815063477,5.998849868774414,0.005266999999999911,0.007835000000000036,13.101999999999947,68%,9516
A,ideal,data-032,False,2026-06-24T11:49:19.425398+00:00,1.8825531005859375,4.082918167114258,5.675792694091797,0.009792999999998386,0.0033209999999996853,13.113999999998072,62%,9644
A,ideal,data-033,False,2026-06-24T11:49:22.804140+00:00,2.1016597747802734,4.480123519897461,6.254673004150391,0.0076339999999994745,0.004998999999999754,12.632999999999228,62%,9476
A,ideal,data-034,False,2026-06-24T11:49:26.175540+00:00,2.216339111328125,4.768133163452148,6.50334358215332,0.007342000000001292,0.005276999999999532,12.619000000000824,58%,9336
A,ideal,data-035,False,2026-06-24T11:49:29.552657+00:00,1.8987655639648438,4.20069694519043,5.9070587158203125,0.007142999999999233,0.006093999999997379,13.236999999996613,68%,9548
A,ideal,data-036,False,2026-06-24T11:49:32.933305+00:00,2.0132064819335938,4.4384002685546875,6.043195724487305,0.008795999999996695,0.004290000000001015,13.08599999999771,62%,9328
A,ideal,data-037,False,2026-06-24T11:49:36.326942+00:00,1.8906593322753906,4.127025604248047,5.805015563964844,0.010472000000000037,0.002682000000000073,13.15400000000011,62%,9404
A,ideal,data-038,False,2026-06-24T11:49:39.710727+00:00,2.131223678588867,4.448890686035156,6.159782409667969,0.009653000000000134,0.003033000000002062,12.686000000002196,58%,9412
A,ideal,data-039,False,2026-06-24T11:49:43.089828+00:00,2.237081527709961,4.6672821044921875,6.654500961303711,0.010514999999998054,0.0027889999999999304,13.303999999997984,58%,9404
A,ideal,data-040,False,2026-06-24T11:49:46.472398+00:00,1.8455982208251953,4.120588302612305,5.8441162109375,0.008996000000003335,0.0038059999999973115,12.802000000000646,62%,9576
A,ideal,data-041,False,2026-06-24T11:49:49.846804+00:00,1.9273757934570312,4.239082336425781,5.95855712890625,0.0057419999999979154,0.00693899999999914,12.680999999997056,62%,9452
A,ideal,data-042,False,2026-06-24T11:49:53.225814+00:00,1.5740394592285156,3.9021968841552734,5.374908447265625,0.009180999999998107,0.004017999999998523,13.19899999999663,68%,9596
A,ideal,data-043,False,2026-06-24T11:49:56.601277+00:00,2.0036697387695312,4.157304763793945,5.842685699462891,0.0071000000000012164,0.005630000000000024,12.73000000000124,62%,9524
A,ideal,data-044,False,2026-06-24T11:49:59.977409+00:00,1.992940902709961,4.108667373657227,5.878925323486328,0.008409999999997808,0.004936000000000718,13.345999999998526,68%,9600
A,ideal,data-045,False,2026-06-24T11:50:03.354850+00:00,1.8608570098876953,4.088163375854492,5.906581878662109,0.008374000000003434,0.004977000000000231,13.351000000003665,62%,9328
A,ideal,data-046,False,2026-06-24T11:50:06.728973+00:00,1.7752647399902344,4.054784774780273,5.619525909423828,0.009070999999998719,0.003702000000000538,12.772999999999257,62%,9324
A,ideal,data-047,False,2026-06-24T11:50:10.111247+00:00,1.8873214721679688,4.079103469848633,5.749225616455078,0.006083000000003835,0.00665300000000002,12.736000000003855,62%,9464
A,ideal,data-048,False,2026-06-24T11:50:13.484425+00:00,2.0363330841064453,4.524469375610352,6.458044052124023,0.008499999999997954,0.005811000000001343,14.310999999999297,66%,9460
A,ideal,data-049,False,2026-06-24T11:50:16.867206+00:00,1.9385814666748047,4.385232925415039,6.162166595458984,0.007111999999999341,0.005655000000000854,12.767000000000195,58%,9348
A,ideal,data-050,False,2026-06-24T11:50:20.257845+00:00,1.8737316131591797,4.174947738647461,5.856037139892578,0.009070000000001244,0.004184000000002186,13.25400000000343,68%,9528
A,ideal,data-051,False,2026-06-24T11:50:23.635244+00:00,1.857757568359375,3.999948501586914,5.747079849243164,0.008659000000001527,0.004657999999999163,13.31700000000069,62%,9392
A,ideal,data-052,False,2026-06-24T11:50:27.022924+00:00,2.076387405395508,4.361629486083984,5.991220474243164,0.00815899999999914,0.005143999999997817,13.302999999996956,58%,9576
A,ideal,data-053,False,2026-06-24T11:50:30.406692+00:00,1.8732547760009766,4.282236099243164,5.771398544311523,0.009484000000000492,0.0037909999999996558,13.275000000000148,68%,9480
A,ideal,data-054,False,2026-06-24T11:50:33.782610+00:00,1.8782615661621094,3.95965576171875,5.596160888671875,0.012740999999998337,0.0,12.740999999998337,68%,9368
A,ideal,data-055,False,2026-06-24T11:50:37.161845+00:00,1.8343925476074219,4.030942916870117,5.918264389038086,0.010271000000003028,0.003092000000002315,13.363000000005343,64%,9316
A,ideal,data-056,False,2026-06-24T11:50:40.551443+00:00,1.9023418426513672,4.312038421630859,5.946159362792969,0.007644999999996571,0.005091999999997654,12.736999999994225,62%,9464
A,ideal,data-057,False,2026-06-24T11:50:43.934431+00:00,2.0134449005126953,4.517316818237305,6.281852722167969,0.010914999999997121,0.0018950000000010903,12.809999999998212,64%,9480
A,ideal,data-058,False,2026-06-24T11:50:47.323151+00:00,1.790761947631836,4.354000091552734,5.959510803222656,0.007326999999996531,0.005376000000001824,12.702999999998354,62%,9524
A,ideal,data-059,False,2026-06-24T11:50:50.712647+00:00,1.5871524810791016,3.9932727813720703,5.495309829711914,0.006644999999998902,0.006161999999999779,12.80699999999868,62%,9444
A,ideal,data-060,False,2026-06-24T11:50:54.090954+00:00,2.035856246948242,4.509925842285156,6.139993667602539,0.008221000000006029,0.004564000000002011,12.78500000000804,58%,9528
A,ideal,data-061,False,2026-06-24T11:50:57.481398+00:00,2.029895782470703,4.404544830322266,6.122112274169922,0.009445999999996957,0.003853000000002993,13.29899999999995,64%,9444
A,ideal,data-062,False,2026-06-24T11:51:00.863839+00:00,1.8815994262695312,4.0531158447265625,5.99217414855957,0.010977999999994381,0.0016780000000018447,12.655999999996226,62%,9404
A,ideal,data-063,False,2026-06-24T11:51:04.239900+00:00,2.1157264709472656,4.4651031494140625,6.109952926635742,0.007652000000000214,0.005547999999997444,13.199999999997658,58%,9608
A,ideal,data-064,False,2026-06-24T11:51:07.629720+00:00,2.0284652709960938,4.486560821533203,6.390810012817383,0.007820999999999856,0.005251999999998702,13.072999999998558,64%,9512
A,ideal,data-065,False,2026-06-24T11:51:11.023581+00:00,2.0508766174316406,4.307270050048828,5.979061126708984,0.008378999999997916,0.004393000000000313,12.77199999999823,62%,9520
A,ideal,data-066,False,2026-06-24T11:51:14.405148+00:00,1.8038749694824219,4.081964492797852,5.774974822998047,0.009071999999996194,0.0037629999999992947,12.834999999995489,64%,9560
A,ideal,data-067,False,2026-06-24T11:51:17.788632+00:00,2.7048587799072266,5.308389663696289,7.118701934814453,0.011483999999995831,0.001828999999997194,13.312999999993025,55%,9480
A,ideal,data-068,False,2026-06-24T11:51:21.170553+00:00,1.8754005432128906,4.304170608520508,5.76329231262207,0.009833000000000425,0.003517999999999688,13.351000000000113,68%,9460
A,ideal,data-069,False,2026-06-24T11:51:24.548779+00:00,2.2084712982177734,4.515409469604492,6.314277648925781,0.009861999999998261,0.0035020000000010043,13.363999999999265,58%,9412
A,ideal,data-070,False,2026-06-24T11:51:27.936800+00:00,1.8444061279296875,4.139423370361328,5.874156951904297,0.010511999999998523,0.0027630000000016253,13.275000000000148,68%,9476
A,ideal,data-071,False,2026-06-24T11:51:31.318384+00:00,2.026081085205078,4.294395446777344,6.052494049072266,0.009181999999995583,0.0035519999999991114,12.733999999994694,62%,9452
A,ideal,data-072,False,2026-06-24T11:51:34.709648+00:00,1.8291473388671875,4.059076309204102,5.6018829345703125,0.009156999999994753,0.00404800000000094,13.204999999995692,68%,9580
A,ideal,data-073,False,2026-06-24T11:51:38.102895+00:00,1.9636154174804688,4.171133041381836,5.778312683105469,0.007989999999992392,0.005287000000002706,13.276999999995098,62%,9392
A,ideal,data-074,False,2026-06-24T11:51:41.480836+00:00,1.8360614776611328,4.060029983520508,5.530595779418945,0.010167000000009807,0.0028460000000016805,13.013000000011488,68%,9568
A,ideal,data-075,False,2026-06-24T11:51:44.861558+00:00,2.0263195037841797,4.292964935302734,6.033182144165039,0.010891000000000872,0.002017000000002156,12.908000000003028,68%,9416
A,ideal,data-076,False,2026-06-24T11:51:48.252407+00:00,1.8379688262939453,3.9649009704589844,5.619525909423828,0.01104800000000239,0.0019199999999983675,12.968000000000757,68%,9448
A,ideal,data-077,False,2026-06-24T11:51:51.638192+00:00,1.8193721771240234,4.042387008666992,5.80143928527832,0.009534000000002152,0.0034729999999996153,13.007000000001767,62%,9328
A,ideal,data-078,False,2026-06-24T11:51:55.013284+00:00,2.7587413787841797,5.37562370300293,7.006168365478516,0.008981999999988943,0.003941000000004635,12.922999999993579,64%,9372
A,ideal,data-079,False,2026-06-24T11:51:58.393304+00:00,1.7211437225341797,3.9207935333251953,5.540370941162109,0.010135000000005334,0.0031439999999989254,13.27900000000426,68%,9364
A,ideal,data-080,False,2026-06-24T11:52:01.770219+00:00,1.8916130065917969,4.060983657836914,5.489587783813477,0.011291999999997415,0.0019509999999982597,13.242999999995675,62%,9412
A,ideal,data-081,False,2026-06-24T11:52:05.149355+00:00,2.0585060119628906,4.2476654052734375,6.104707717895508,0.0077110000000004675,0.005237999999998522,12.948999999998989,62%,9624
A,ideal,data-082,False,2026-06-24T11:52:08.534579+00:00,2.1109580993652344,4.5833587646484375,6.438255310058594,0.008748999999994567,0.0042510000000035575,12.999999999998124,58%,9324
A,ideal,data-083,False,2026-06-24T11:52:11.910301+00:00,2.0744800567626953,4.340171813964844,5.845069885253906,0.008224000000012666,0.00504399999999805,13.268000000010716,68%,9460
A,ideal,data-084,False,2026-06-24T11:52:15.285277+00:00,1.8246173858642578,4.018306732177734,5.659341812133789,0.008448000000001343,0.004653999999995051,13.101999999996394,62%,9404
A,ideal,data-085,False,2026-06-24T11:52:18.670724+00:00,2.377748489379883,4.62031364440918,6.360530853271484,0.006748999999999228,0.00656500000000193,13.314000000001158,58%,9284
A,ideal,data-086,False,2026-06-24T11:52:22.055876+00:00,2.0530223846435547,4.562854766845703,6.646871566772461,0.010334999999997763,0.002881000000002132,13.215999999999894,58%,9292
A,ideal,data-087,False,2026-06-24T11:52:25.439039+00:00,1.8982887268066406,4.28318977355957,5.985260009765625,0.00899599999999623,0.004291999999999518,13.287999999995748,58%,9340
A,ideal,data-088,False,2026-06-24T11:52:28.817746+00:00,1.909494400024414,4.274606704711914,5.987405776977539,0.008268000000001052,0.004831000000002916,13.099000000003969,68%,9304
A,ideal,data-089,False,2026-06-24T11:52:32.193696+00:00,1.7926692962646484,3.8797855377197266,5.67317008972168,0.008080000000006748,0.004753999999998371,12.834000000005119,68%,9372
A,ideal,data-090,False,2026-06-24T11:52:35.571475+00:00,2.016305923461914,4.319429397583008,5.890130996704102,0.00848999999999478,0.004494000000001108,12.983999999995888,62%,9564
A,ideal,data-091,False,2026-06-24T11:52:38.956699+00:00,1.6417503356933594,3.841876983642578,5.524396896362305,0.011400999999992223,0.0018750000000054001,13.275999999997623,62%,9396
A,ideal,data-092,False,2026-06-24T11:52:42.338702+00:00,2.2215843200683594,4.468202590942383,6.090402603149414,0.010371000000006347,0.002863000000004945,13.234000000011292,62%,9304
A,ideal,data-093,False,2026-06-24T11:52:45.731155+00:00,1.7952919006347656,3.8564205169677734,5.646228790283203,0.010244999999997617,0.0029970000000005825,13.2419999999982,62%,9572
A,ideal,data-094,False,2026-06-24T11:52:49.110970+00:00,1.917123794555664,4.287481307983398,5.870342254638672,0.006647999999998433,0.00646199999999908,13.109999999997513,62%,9432
A,ideal,data-095,False,2026-06-24T11:52:52.488455+00:00,1.9338130950927734,4.05430793762207,5.744457244873047,0.008939999999995507,0.004125999999999408,13.065999999994915,68%,9632
A,ideal,data-096,False,2026-06-24T11:52:55.868438+00:00,1.9004344940185547,4.255771636962891,5.729913711547852,0.010229999999992856,0.0027380000000007954,12.967999999993651,62%,9424
A,ideal,data-097,False,2026-06-24T11:52:59.241541+00:00,1.8532276153564453,4.004001617431641,5.642414093017578,0.012134000000003198,0.0009509999999934848,13.084999999996683,62%,9568
A,ideal,data-098,False,2026-06-24T11:53:02.627453+00:00,1.8110275268554688,3.862142562866211,5.642890930175781,0.008484999999993192,0.004660999999998694,13.145999999991886,62%,9520
A,ideal,data-099,False,2026-06-24T11:53:06.003700+00:00,1.8143653869628906,3.9682388305664062,5.706071853637695,0.0093519999999927,0.004265999999994108,13.617999999986807,62%,9608
A,ideal,data-100,False,2026-06-24T11:53:09.379722+00:00,1.8463134765625,4.055023193359375,5.640983581542969,0.012579000000002338,0.0006750000000010914,13.25400000000343,68%,9464
A,edge_loss0,warmup-01,True,2026-06-24T11:53:13.664155+00:00,2.2733211517333984,105.44776916503906,107.10358619689941,0.008296999999998889,0.005724999999998204,14.021999999997092,2%,9552
A,edge_loss0,warmup-02,True,2026-06-24T11:53:17.440736+00:00,2.009153366088867,105.13114929199219,106.37259483337402,0.005940000000009604,0.007989999999999498,13.930000000009102,2%,9500
