scenario,network,iteration,is_warmup,timestamp,handshake_time_ms,ttfb_ms,ttlb_ms,cpu_peak_pct,cpu_mean_pct,ram_peak_bytes,cpu_usr_s,cpu_sys_s,cpu_pct_time,max_rss_kb
A,ideal,data-001,False,2026-06-12T09:28:19.900010+00:00,,5.462646484375,44.83628273010254,0.0,0.0,9641984,0.0,0.0,20%,9416
A,ideal,data-002,False,2026-06-12T09:28:23.187400+00:00,,5.201816558837891,44.45481300354004,0.0,0.0,9531392,0.0,0.0,22%,9436
A,ideal,data-003,False,2026-06-12T09:28:26.494701+00:00,,4.713535308837891,40.0700569152832,0.0,0.0,9732096,0.01,0.0,28%,9504
A,ideal,data-004,False,2026-06-12T09:28:29.785842+00:00,,9.702444076538086,45.08614540100098,0.0,0.0,9461760,0.0,0.0,18%,9240
A,ideal,data-005,False,2026-06-12T09:28:33.099213+00:00,,9.269475936889648,44.913530349731445,0.0,0.0,9596928,0.01,0.0,24%,9372
